Clay_Up,Silt_Up,Sand_Up,Clay_Down,Silt_Down,Sand_Down,OC_Up,OC_Down,BD_Up,BD_Down,AWC_Up,AWC_Down,K_Up,K_Down,PCP_WW,PCP_SM,IRR_SM,PCP_RY,TMP_AV,TMP_MX,TMP_MN
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,109.2,345.9,31,419.7,7.42263779527559,13.1968503937008,1.64842519685039
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,82.7,798.4,31,888.7,7.83681102362205,13.6169291338583,2.05669291338583
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,164.7,751.3,31,887.7,7.9065905511811,13.6700157480315,2.14316535433071
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,37.0,628.1,31,682.3,7.95531764705882,13.8387333333333,2.07190196078431
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,128.3,337.8,31,522.4,7.85551181102362,13.3185039370079,2.39251968503937
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,210.4,304.8,41,468.1,8.31870078740158,13.5562992125984,3.08110236220472
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,109.0,343.9,31,461.5,8.63503937007874,14.2165354330709,3.05354330708661
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,62.7,328.7,31,419.4,7.93960784313725,13.5733333333333,2.30588235294118
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,78.7,273.3,41,376.5,8.03740157480315,13.2972440944882,2.77755905511811
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,171.4,313.4,41,511.3,9.60413385826772,15.2263779527559,3.98188976377953
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,149.5,320.8,31,521.8,7.56870078740158,12.3984251968504,2.73897637795275
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,193.7,616.8,31,740.0,8.95559215686274,14.5289607843137,3.38222352941176
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,129.1,264.8,41,380.5,8.06791338582677,13.4251968503937,2.71062992125984
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,91.8,233.1,41,336.1,8.63318503937008,14.1205984251968,3.14577952755906
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,133.7,420.9,31,604.7,9.91791338582677,15.1334645669291,4.70236220472441
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,160.1,400.5,31,525.5,9.34607843137255,14.0905882352941,4.60156862745098
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,152.3,211.2,41,385.6,10.0600118110236,15.3490354330709,4.77098818897638
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,157.3,443.9,31,612.8,7.64074803149606,12.2062992125984,3.0751968503937
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,80.0,474.8,31,559.9,7.8494094488189,14.1177165354331,1.58110236220472
21,28,51,23,26,51,0.91,0.45,1.28,1.23,0.1,0.1,19.91,14.19,94.8,646.2,31,784.8,7.65379215686275,13.6136470588235,1.69393333333333
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,109.2,345.9,31,419.7,7.42263779527559,13.1968503937008,1.64842519685039
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,82.7,798.4,31,888.7,7.83681102362205,13.6169291338583,2.05669291338583
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,164.7,751.3,31,887.7,7.9065905511811,13.6700157480315,2.14316535433071
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,37.0,628.1,31,682.3,7.95531764705882,13.8387333333333,2.07190196078431
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,128.3,337.8,31,522.4,7.85551181102362,13.3185039370079,2.39251968503937
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,210.4,304.8,41,468.1,8.31870078740158,13.5562992125984,3.08110236220472
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,109.0,343.9,31,461.5,8.63503937007874,14.2165354330709,3.05354330708661
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,62.7,328.7,31,419.4,7.93960784313725,13.5733333333333,2.30588235294118
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,78.7,273.3,41,376.5,8.03740157480315,13.2972440944882,2.77755905511811
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,171.4,313.4,41,511.3,9.60413385826772,15.2263779527559,3.98188976377953
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,149.5,320.8,31,521.8,7.56870078740158,12.3984251968504,2.73897637795275
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,193.7,616.8,31,740.0,8.95559215686274,14.5289607843137,3.38222352941176
20,24,57,23,21,57,0.89,0.35,1.3,1.5,0.11,0.11,24.64,15.92,129.1,264.8,41,380.5,8.06791338582677,13.4251968503937,2.71062992125984
